Receiver,FISHID,x_plane,y_plane,Total.Length,Sex,Year,Month,Month.NUM,Day.of.month,Time,Year.3,Date,Day.of.year,Time.Hr,Hour.of.year,Day,location,Rec_Group,water_feature_type
109375,1592,400016,5786507,575,m,2011,January,1,6,1,2011,06/01/2011,6,7,42,40549,Harvey Creek,Confluence,delta
109371,1652,415224,5776783,475,m,2011,January,1,6,1,2011,06/01/2011,6,7,42,40549,Jumping Jack Creek,Wood Arm,delta
109370,1692,404815,5778642,595,f,2011,January,1,6,1,2011,06/01/2011,6,7,42,40549,Mouth of Wood Arm,Confluence,delta
109369,1944,401855,5772877,620,f,2011,January,1,6,1,2011,06/01/2011,6,7,42,40549,Red rock (middle),Confluence,Reservoir
109370,1972,404815,5778642,621,m,2011,January,1,6,1,2011,06/01/2011,6,7,42,40549,Mouth of Wood Arm,Confluence,delta
109375,1622,400016,5786507,537,f,2011,January,1,6,1,2011,06/01/2011,6,8,48,40549,Harvey Creek,Confluence,delta
109371,1652,415224,5776783,475,m,2011,January,1,6,1,2011,06/01/2011,6,8,48,40549,Jumping Jack Creek,Wood Arm,delta
109386,1690,398223,5774034,529,m?,2011,January,1,6,1,2011,06/01/2011,6,8,48,40549,South outer forebay,Confluence,Reservoir
109370,1692,404815,5778642,595,f,2011,January,1,6,1,2011,06/01/2011,6,8,48,40549,Mouth of Wood Arm,Confluence,delta
109370,1596,404815,5778642,740,f,2011,January,1,6,1,2011,06/01/2011,6,9,54,40549,Mouth of Wood Arm,Confluence,delta
109371,1652,415224,5776783,475,m,2011,January,1,6,1,2011,06/01/2011,6,9,54,40549,Jumping Jack Creek,Wood Arm,delta
109392,1594,398039,5777718,580,m,2011,January,1,6,1,2011,06/01/2011,6,10,60,40549,Encampment Creek,Confluence,delta
109371,1652,415224,5776783,475,m,2011,January,1,6,1,2011,06/01/2011,6,10,60,40549,Jumping Jack Creek,Wood Arm,delta
109370,1692,404815,5778642,595,f,2011,January,1,6,1,2011,06/01/2011,6,10,60,40549,Mouth of Wood Arm,Confluence,delta
109369,1944,401855,5772877,620,f,2011,January,1,6,1,2011,06/01/2011,6,10,60,40549,Red rock (middle),Confluence,Reservoir
109392,1594,398039,5777718,580,m,2011,January,1,6,1,2011,06/01/2011,6,11,66,40549,Encampment Creek,Confluence,delta
109371,1652,415224,5776783,475,m,2011,January,1,6,1,2011,06/01/2011,6,11,66,40549,Jumping Jack Creek,Wood Arm,delta
